TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,flux_n,flux_n-median
2064.75889,0.004768533,39180.789,7.2955999,0.020600578,-0.000467103
2064.779322,0.004767055,39212.051,7.2899122,0.020620512,-0.000447169
2064.799754,0.004765578,39294.316,7.3074298,0.020672967,-0.000394714
2064.820186,0.0047641,39165.473,7.298089,0.020590812,-0.000476869
2064.840618,0.004762621,39148.133,7.2965264,0.020579755,-0.000487926
2064.86105,0.004761142,39099.602,7.2875137,0.02054881,-0.000518871
2064.881482,0.004759663,39138.719,,0.020573753,-0.000493929
2064.901914,0.004758183,39177.836,7.2863073,0.020598695,-0.000468986
2064.922347,0.004756703,39390.789,7.2945466,0.020734482,-0.000333199
2064.942779,0.004755222,39271.508,7.297657,0.020658424,-0.000409257
2064.963211,0.004753741,39196.781,7.2821522,0.020610775,-0.000456906
2064.983643,0.00475226,39168.18,7.2860074,0.020592538,-0.000475143
2065.004075,0.004750778,39263.039,7.2982378,0.020653024,-0.000414657
2065.024507,0.004749295,39245.555,7.2844162,0.020641875,-0.000425806
2065.044939,0.004747813,39262.367,7.2960591,0.020652595,-0.000415086
2065.065371,0.00474633,39253.246,7.2953649,0.02064678,-0.000420902
2065.085804,0.004744845,39273.383,7.2928233,0.02065962,-0.000408062
2065.106236,0.004743361,39350.246,7.299695,0.020708631,-0.000359051
2065.126668,0.004741877,39487.84,7.3044772,0.020796366,-0.000271315
2065.1471,0.004740392,39538.668,7.3041463,0.020828776,-0.000238906
2065.167532,0.004738906,39598.824,7.3154087,0.020867134,-0.000200548
2065.187964,0.004737421,39656.895,7.3269658,0.020904162,-0.000163519
2065.208396,0.004735935,39589.355,7.3194261,0.020861096,-0.000206586
2065.228828,0.004734448,39519.664,7.309186,0.020816658,-0.000251023
2065.24926,0.00473296,39512.598,7.3106561,0.020812153,-0.000255529
2065.269693,0.004731473,39533.07,7.307961,0.020825206,-0.000242475
2065.290125,0.004729985,39537.402,7.3112836,0.020827969,-0.000239713
2065.310557,0.004728497,39578.617,7.316072,0.020854249,-0.000213433
2065.330989,0.004727008,39582.496,7.3153167,0.020856722,-0.000210959
2065.351421,0.004725518,39567.812,7.306735,0.020847359,-0.000220322
2065.371853,0.004724029,39668.07,7.3202448,0.020911288,-0.000156394
2065.392285,0.004722538,39685.891,7.3185439,0.020922651,-0.00014503
2065.412717,0.004721048,39711.742,7.3301606,0.020939135,-0.000128547
2065.43315,0.004719557,39679.902,7.3247967,0.020918832,-0.000148849
2065.453582,0.004718065,39734.348,7.3234334,0.020953549,-0.000114132
2065.474014,0.004716573,39783.797,7.3279848,0.02098508,-8.26E-05
2065.494446,0.004715081,39835.367,7.3386436,0.021017963,-4.97E-05
2065.514878,0.004713588,39908.043,7.3418155,0.021064304,-3.38E-06
2065.53531,0.004712095,39952.629,7.3499885,0.021092734,2.51E-05
2065.555742,0.004710602,39923.797,7.3358221,0.021074349,6.67E-06
2065.576174,0.004709108,39931.855,7.3385224,0.021079487,1.18E-05
2065.596606,0.004707613,41779.305,7.4373608,0.022257494,0.001189812
2065.617038,0.004706118,41509.69933,,0.012956345,-0.008111336
2065.637471,0.004704623,41240.09367,,0.030295319,0.009227638
2065.657903,0.004703127,40970.488,7.3734198,0.02174176,0.000674079
2065.678335,0.004701631,40850.59,7.3659105,0.021665309,0.000597627
2065.698767,0.004700135,40725.676,7.3613954,0.021585659,0.000517977
2065.719199,0.004698637,40635.078,7.3490586,0.02152789,0.000460208
2065.739631,0.00469714,40781.625,7.3721046,0.021621334,0.000553653
2065.760063,0.004695642,40704.488,7.3850255,0.021572148,0.000504467
2065.780495,0.004694144,40667.41,7.3621435,0.021548506,0.000480825
